year,fips_code,state,county_name,population
1990,1001,AL,Autauga County,34356
1991,1001,AL,Autauga County,35018
1992,1001,AL,Autauga County,36002
1993,1001,AL,Autauga County,36976
1994,1001,AL,Autauga County,38218
1995,1001,AL,Autauga County,39154
1996,1001,AL,Autauga County,40251
1997,1001,AL,Autauga County,41293
1998,1001,AL,Autauga County,42193
1999,1001,AL,Autauga County,43140
1990,1003,AL,Baldwin County,98921
1991,1003,AL,Baldwin County,102229
1992,1003,AL,Baldwin County,106228
1993,1003,AL,Baldwin County,110873
1994,1003,AL,Baldwin County,115834
1995,1003,AL,Baldwin County,119962
1996,1003,AL,Baldwin County,124261
1997,1003,AL,Baldwin County,128770
1998,1003,AL,Baldwin County,132857
1999,1003,AL,Baldwin County,135820
1990,1005,AL,Barbour County,25452
1991,1005,AL,Barbour County,26227
1992,1005,AL,Barbour County,26435
1993,1005,AL,Barbour County,26637
1994,1005,AL,Barbour County,26788
1995,1005,AL,Barbour County,26665
1996,1005,AL,Barbour County,26866
1997,1005,AL,Barbour County,26747
1998,1005,AL,Barbour County,26936
1999,1005,AL,Barbour County,26726
1990,1007,AL,Bibb County,16675
1991,1007,AL,Bibb County,16956
1992,1007,AL,Bibb County,17191
1993,1007,AL,Bibb County,17447
1994,1007,AL,Bibb County,17643
1995,1007,AL,Bibb County,17988
1996,1007,AL,Bibb County,18256
1997,1007,AL,Bibb County,18639
1998,1007,AL,Bibb County,18987
1999,1007,AL,Bibb County,19601
1990,1009,AL,Blount County,39410
1991,1009,AL,Blount County,39868
1992,1009,AL,Blount County,40230
1993,1009,AL,Blount County,40992
1994,1009,AL,Blount County,41363
1995,1009,AL,Blount County,42586
1996,1009,AL,Blount County,43544
1997,1009,AL,Blount County,44897
1998,1009,AL,Blount County,46292
1999,1009,AL,Blount County,47411
1990,1011,AL,Bullock County,11022
1991,1011,AL,Bullock County,11139
1992,1011,AL,Bullock County,11032
1993,1011,AL,Bullock County,11085
1994,1011,AL,Bullock County,11191
1995,1011,AL,Bullock County,11209
1996,1011,AL,Bullock County,11307
1997,1011,AL,Bullock County,11310
1998,1011,AL,Bullock County,11325
1999,1011,AL,Bullock County,11343
1990,1013,AL,Butler County,21884
1991,1013,AL,Butler County,21742
1992,1013,AL,Butler County,21772
1993,1013,AL,Butler County,21781
1994,1013,AL,Butler County,21811
1995,1013,AL,Butler County,21773
1996,1013,AL,Butler County,21801
1997,1013,AL,Butler County,21769
1998,1013,AL,Butler County,21658
1999,1013,AL,Butler County,21522
1990,1015,AL,Calhoun County,116115
1991,1015,AL,Calhoun County,115218
1992,1015,AL,Calhoun County,115749
1993,1015,AL,Calhoun County,116250
1994,1015,AL,Calhoun County,116078
1995,1015,AL,Calhoun County,116687
1996,1015,AL,Calhoun County,116577
1997,1015,AL,Calhoun County,117132
1998,1015,AL,Calhoun County,117083
1999,1015,AL,Calhoun County,116541
1990,1017,AL,Chambers County,36882
1991,1017,AL,Chambers County,36902
1992,1017,AL,Chambers County,37025
1993,1017,AL,Chambers County,36997
1994,1017,AL,Chambers County,37032
1995,1017,AL,Chambers County,37133
1996,1017,AL,Chambers County,36857
1997,1017,AL,Chambers County,36640
1998,1017,AL,Chambers County,36706
1999,1017,AL,Chambers County,36369
1990,1019,AL,Cherokee County,19603
1991,1019,AL,Cherokee County,19676
1992,1019,AL,Cherokee County,19814
1993,1019,AL,Cherokee County,20174
1994,1019,AL,Cherokee County,20497
1995,1019,AL,Cherokee County,20958
1996,1019,AL,Cherokee County,21281
1997,1019,AL,Cherokee County,21601
1998,1019,AL,Cherokee County,21827
1999,1019,AL,Cherokee County,21894
1990,1021,AL,Chilton County,32520
1991,1021,AL,Chilton County,33045
1992,1021,AL,Chilton County,33220
1993,1021,AL,Chilton County,33661
1994,1021,AL,Chilton County,34195
1995,1021,AL,Chilton County,34849
1996,1021,AL,Chilton County,35631
1997,1021,AL,Chilton County,36310
1998,1021,AL,Chilton County,36926
1999,1021,AL,Chilton County,37604
1990,1023,AL,Choctaw County,15984
1991,1023,AL,Choctaw County,15996
1992,1023,AL,Choctaw County,16118
1993,1023,AL,Choctaw County,16102
1994,1023,AL,Choctaw County,16050
1995,1023,AL,Choctaw County,15991
1996,1023,AL,Choctaw County,15989
1997,1023,AL,Choctaw County,15883
1998,1023,AL,Choctaw County,15829
1999,1023,AL,Choctaw County,15518
1990,1025,AL,Clarke County,27311
1991,1025,AL,Clarke County,27503
1992,1025,AL,Clarke County,27727
1993,1025,AL,Clarke County,27827
1994,1025,AL,Clarke County,28037
1995,1025,AL,Clarke County,27938
1996,1025,AL,Clarke County,28077
1997,1025,AL,Clarke County,28606
1998,1025,AL,Clarke County,28531
1999,1025,AL,Clarke County,28756
1990,1027,AL,Clay County,13281
1991,1027,AL,Clay County,13292
1992,1027,AL,Clay County,13386
1993,1027,AL,Clay County,13467
1994,1027,AL,Clay County,13486
1995,1027,AL,Clay County,13507
1996,1027,AL,Clay County,13633
1997,1027,AL,Clay County,13841
1998,1027,AL,Clay County,13966
1999,1027,AL,Clay County,14012
1990,1029,AL,Cleburne County,12733
1991,1029,AL,Cleburne County,12733
1992,1029,AL,Cleburne County,12941
1993,1029,AL,Cleburne County,13162
1994,1029,AL,Cleburne County,13207
1995,1029,AL,Cleburne County,13301
1996,1029,AL,Cleburne County,13521
1997,1029,AL,Cleburne County,14090
1998,1029,AL,Cleburne County,14283
1999,1029,AL,Cleburne County,14456
1990,1031,AL,Coffee County,40256
1991,1031,AL,Coffee County,40393
1992,1031,AL,Coffee County,41125
1993,1031,AL,Coffee County,41400
1994,1031,AL,Coffee County,41986
1995,1031,AL,Coffee County,42332
1996,1031,AL,Coffee County,42124
1997,1031,AL,Coffee County,42041
1998,1031,AL,Coffee County,42222
1999,1031,AL,Coffee County,42128
1990,1033,AL,Colbert County,51816
1991,1033,AL,Colbert County,52253
1992,1033,AL,Colbert County,52279
1993,1033,AL,Colbert County,52572
1994,1033,AL,Colbert County,52421
1995,1033,AL,Colbert County,52421
1996,1033,AL,Colbert County,52630
1997,1033,AL,Colbert County,53094
1998,1033,AL,Colbert County,52924
1999,1033,AL,Colbert County,52552
1990,1035,AL,Conecuh County,14032
1991,1035,AL,Conecuh County,14275
1992,1035,AL,Conecuh County,14133
1993,1035,AL,Conecuh County,14110
1994,1035,AL,Conecuh County,14133
1995,1035,AL,Conecuh County,14086
1996,1035,AL,Conecuh County,14176
1997,1035,AL,Conecuh County,14032
1998,1035,AL,Conecuh County,13863
1999,1035,AL,Conecuh County,13728
1990,1037,AL,Coosa County,11060
1991,1037,AL,Coosa County,11110
1992,1037,AL,Coosa County,11071
1993,1037,AL,Coosa County,11290
1994,1037,AL,Coosa County,11588
1995,1037,AL,Coosa County,11694
1996,1037,AL,Coosa County,11551
1997,1037,AL,Coosa County,11585
1998,1037,AL,Coosa County,11637
1999,1037,AL,Coosa County,11712
1990,1039,AL,Covington County,36509
1991,1039,AL,Covington County,36563
1992,1039,AL,Covington County,36848
1993,1039,AL,Covington County,37069
1994,1039,AL,Covington County,36922
1995,1039,AL,Covington County,37257
1996,1039,AL,Covington County,37414
1997,1039,AL,Covington County,37432
1998,1039,AL,Covington County,37461
1999,1039,AL,Covington County,37587
1990,1041,AL,Crenshaw County,13598
1991,1041,AL,Crenshaw County,13551
1992,1041,AL,Crenshaw County,13511
1993,1041,AL,Crenshaw County,13557
1994,1041,AL,Crenshaw County,13478
1995,1041,AL,Crenshaw County,13586
1996,1041,AL,Crenshaw County,13580
1997,1041,AL,Crenshaw County,13694
1998,1041,AL,Crenshaw County,13626
1999,1041,AL,Crenshaw County,13619
1990,1043,AL,Cullman County,67791
1991,1043,AL,Cullman County,68569
1992,1043,AL,Cullman County,69592
1993,1043,AL,Cullman County,70430
1994,1043,AL,Cullman County,71451
1995,1043,AL,Cullman County,72287
1996,1043,AL,Cullman County,73409
1997,1043,AL,Cullman County,74086
1998,1043,AL,Cullman County,74944
1999,1043,AL,Cullman County,75661
1990,1045,AL,Dale County,49599
1991,1045,AL,Dale County,49809
1992,1045,AL,Dale County,49793
1993,1045,AL,Dale County,49663
1994,1045,AL,Dale County,50362
1995,1045,AL,Dale County,50229
1996,1045,AL,Dale County,49453
1997,1045,AL,Dale County,49101
1998,1045,AL,Dale County,48916
1999,1045,AL,Dale County,49127
1990,1047,AL,Dallas County,48013
1991,1047,AL,Dallas County,47848
1992,1047,AL,Dallas County,47934
1993,1047,AL,Dallas County,47996
1994,1047,AL,Dallas County,47806
1995,1047,AL,Dallas County,47709
1996,1047,AL,Dallas County,47350
1997,1047,AL,Dallas County,47109
1998,1047,AL,Dallas County,46803
1999,1047,AL,Dallas County,46669
1990,1049,AL,DeKalb County,54763
1991,1049,AL,DeKalb County,55342
1992,1049,AL,DeKalb County,55845
1993,1049,AL,DeKalb County,56484
1994,1049,AL,DeKalb County,57533
1995,1049,AL,DeKalb County,57285
1996,1049,AL,DeKalb County,57374
1997,1049,AL,DeKalb County,57653
1998,1049,AL,DeKalb County,58274
1999,1049,AL,DeKalb County,58948
1990,1051,AL,Elmore County,49470
1991,1051,AL,Elmore County,50661
1992,1051,AL,Elmore County,52383
1993,1051,AL,Elmore County,54049
1994,1051,AL,Elmore County,55475
1995,1051,AL,Elmore County,57073
1996,1051,AL,Elmore County,58573
1997,1051,AL,Elmore County,60340
1998,1051,AL,Elmore County,61985
1999,1051,AL,Elmore County,63488
1990,1053,AL,Escambia County,35485
1991,1053,AL,Escambia County,35576
1992,1053,AL,Escambia County,35937
1993,1053,AL,Escambia County,36126
1994,1053,AL,Escambia County,36280
1995,1053,AL,Escambia County,36231
1996,1053,AL,Escambia County,36388
1997,1053,AL,Escambia County,36622
1998,1053,AL,Escambia County,36732
1999,1053,AL,Escambia County,36671
1990,1055,AL,Etowah County,99799
1991,1055,AL,Etowah County,100295
1992,1055,AL,Etowah County,100832
1993,1055,AL,Etowah County,101150
1994,1055,AL,Etowah County,102019
1995,1055,AL,Etowah County,102082
1996,1055,AL,Etowah County,102757
1997,1055,AL,Etowah County,103758
1998,1055,AL,Etowah County,103923
1999,1055,AL,Etowah County,103472
1990,1057,AL,Fayette County,17996
1991,1057,AL,Fayette County,18111
1992,1057,AL,Fayette County,18092
1993,1057,AL,Fayette County,18025
1994,1057,AL,Fayette County,18039
1995,1057,AL,Fayette County,18006
1996,1057,AL,Fayette County,18061
1997,1057,AL,Fayette County,18110
1998,1057,AL,Fayette County,18096
1999,1057,AL,Fayette County,18103
1990,1059,AL,Franklin County,27769
1991,1059,AL,Franklin County,27953
1992,1059,AL,Franklin County,28364
1993,1059,AL,Franklin County,28661
1994,1059,AL,Franklin County,28923
1995,1059,AL,Franklin County,29192
1996,1059,AL,Franklin County,29402
1997,1059,AL,Franklin County,29606
1998,1059,AL,Franklin County,29684
1999,1059,AL,Franklin County,29716
1990,1061,AL,Geneva County,23719
1991,1061,AL,Geneva County,24108
1992,1061,AL,Geneva County,24071
1993,1061,AL,Geneva County,24291
1994,1061,AL,Geneva County,24500
1995,1061,AL,Geneva County,24655
1996,1061,AL,Geneva County,24753
1997,1061,AL,Geneva County,24845
1998,1061,AL,Geneva County,24875
1999,1061,AL,Geneva County,24968
1990,1063,AL,Greene County,10164
1991,1063,AL,Greene County,10222
1992,1063,AL,Greene County,10206
1993,1063,AL,Greene County,10125
1994,1063,AL,Greene County,10018
1995,1063,AL,Greene County,9938
1996,1063,AL,Greene County,9971
1997,1063,AL,Greene County,9931
1998,1063,AL,Greene County,9843
1999,1063,AL,Greene County,9756
1990,1065,AL,Hale County,15529
1991,1065,AL,Hale County,15719
1992,1065,AL,Hale County,15912
1993,1065,AL,Hale County,15978
1994,1065,AL,Hale County,16064
1995,1065,AL,Hale County,16202
1996,1065,AL,Hale County,16358
1997,1065,AL,Hale County,16442
1998,1065,AL,Hale County,16750
1999,1065,AL,Hale County,16870
1990,1067,AL,Henry County,15417
1991,1067,AL,Henry County,15640
1992,1067,AL,Henry County,15583
1993,1067,AL,Henry County,15676
1994,1067,AL,Henry County,15743
1995,1067,AL,Henry County,15685
1996,1067,AL,Henry County,15570
1997,1067,AL,Henry County,15699
1998,1067,AL,Henry County,15798
1999,1067,AL,Henry County,15787
1990,1069,AL,Houston County,81611
1991,1069,AL,Houston County,82358
1992,1069,AL,Houston County,83254
1993,1069,AL,Houston County,83957
1994,1069,AL,Houston County,83427
1995,1069,AL,Houston County,83835
1996,1069,AL,Houston County,84699
1997,1069,AL,Houston County,85133
1998,1069,AL,Houston County,85613
1999,1069,AL,Houston County,86116
1990,1071,AL,Jackson County,47902
1991,1071,AL,Jackson County,48366
1992,1071,AL,Jackson County,48823
1993,1071,AL,Jackson County,49290
1994,1071,AL,Jackson County,49422
1995,1071,AL,Jackson County,49936
1996,1071,AL,Jackson County,50654
1997,1071,AL,Jackson County,50704
1998,1071,AL,Jackson County,51339
1999,1071,AL,Jackson County,51535
1990,1073,AL,Jefferson County,652109
1991,1073,AL,Jefferson County,656128
1992,1073,AL,Jefferson County,659355
1993,1073,AL,Jefferson County,661267
1994,1073,AL,Jefferson County,662990
1995,1073,AL,Jefferson County,663092
1996,1073,AL,Jefferson County,662376
1997,1073,AL,Jefferson County,660202
1998,1073,AL,Jefferson County,660039
1999,1073,AL,Jefferson County,657422
1990,1075,AL,Lamar County,15706
1991,1075,AL,Lamar County,15736
1992,1075,AL,Lamar County,15687
1993,1075,AL,Lamar County,15862
1994,1075,AL,Lamar County,15871
1995,1075,AL,Lamar County,15874
1996,1075,AL,Lamar County,15888
1997,1075,AL,Lamar County,15957
1998,1075,AL,Lamar County,16012
1999,1075,AL,Lamar County,16034
1990,1077,AL,Lauderdale County,79881
1991,1077,AL,Lauderdale County,80755
1992,1077,AL,Lauderdale County,81580
1993,1077,AL,Lauderdale County,82484
1994,1077,AL,Lauderdale County,82871
1995,1077,AL,Lauderdale County,83438
1996,1077,AL,Lauderdale County,83973
1997,1077,AL,Lauderdale County,83909
1998,1077,AL,Lauderdale County,84206
1999,1077,AL,Lauderdale County,84327
1990,1079,AL,Lawrence County,31586
1991,1079,AL,Lawrence County,32083
1992,1079,AL,Lawrence County,32160
1993,1079,AL,Lawrence County,32457
1994,1079,AL,Lawrence County,32368
1995,1079,AL,Lawrence County,32764
1996,1079,AL,Lawrence County,33079
1997,1079,AL,Lawrence County,33278
1998,1079,AL,Lawrence County,33447
1999,1079,AL,Lawrence County,33795
1990,1081,AL,Lee County,87488
1991,1081,AL,Lee County,88243
1992,1081,AL,Lee County,89290
1993,1081,AL,Lee County,90952
1994,1081,AL,Lee County,91656
1995,1081,AL,Lee County,93802
1996,1081,AL,Lee County,95402
1997,1081,AL,Lee County,98438
1998,1081,AL,Lee County,100481
1999,1081,AL,Lee County,102164
1990,1083,AL,Limestone County,54320
1991,1083,AL,Limestone County,55453
1992,1083,AL,Limestone County,56753
1993,1083,AL,Limestone County,57940
1994,1083,AL,Limestone County,58583
1995,1083,AL,Limestone County,59178
1996,1083,AL,Limestone County,59998
1997,1083,AL,Limestone County,61135
1998,1083,AL,Limestone County,62247
1999,1083,AL,Limestone County,63037
1990,1085,AL,Lowndes County,12661
1991,1085,AL,Lowndes County,12669
1992,1085,AL,Lowndes County,12682
1993,1085,AL,Lowndes County,12756
1994,1085,AL,Lowndes County,12753
1995,1085,AL,Lowndes County,12950
1996,1085,AL,Lowndes County,12838
1997,1085,AL,Lowndes County,12876
1998,1085,AL,Lowndes County,12984
1999,1085,AL,Lowndes County,13029
1990,1087,AL,Macon County,24882
1991,1087,AL,Macon County,24486
1992,1087,AL,Macon County,24655
1993,1087,AL,Macon County,24414
1994,1087,AL,Macon County,23980
1995,1087,AL,Macon County,23586
1996,1087,AL,Macon County,23533
1997,1087,AL,Macon County,23074
1998,1087,AL,Macon County,23207
1999,1087,AL,Macon County,22993
1990,1089,AL,Madison County,240142
1991,1089,AL,Madison County,247060
1992,1089,AL,Madison County,255250
1993,1089,AL,Madison County,264433
1994,1089,AL,Madison County,268929
1995,1089,AL,Madison County,268728
1996,1089,AL,Madison County,270331
1997,1089,AL,Madison County,272382
1998,1089,AL,Madison County,278008
1999,1089,AL,Madison County,280381
1990,1091,AL,Marengo County,23021
1991,1091,AL,Marengo County,23120
1992,1091,AL,Marengo County,23251
1993,1091,AL,Marengo County,23449
1994,1091,AL,Marengo County,23492
1995,1091,AL,Marengo County,23499
1996,1091,AL,Marengo County,23440
1997,1091,AL,Marengo County,23508
1998,1091,AL,Marengo County,23375
1999,1091,AL,Marengo County,23158
1990,1093,AL,Marion County,29826
1991,1093,AL,Marion County,29579
1992,1093,AL,Marion County,29706
1993,1093,AL,Marion County,29945
1994,1093,AL,Marion County,30145
1995,1093,AL,Marion County,30483
1996,1093,AL,Marion County,30882
1997,1093,AL,Marion County,30914
1998,1093,AL,Marion County,30857
1999,1093,AL,Marion County,30464
1990,1095,AL,Marshall County,71020
1991,1095,AL,Marshall County,71799
1992,1095,AL,Marshall County,73268
1993,1095,AL,Marshall County,75053
1994,1095,AL,Marshall County,76674
1995,1095,AL,Marshall County,78125
1996,1095,AL,Marshall County,79322
1997,1095,AL,Marshall County,79951
1998,1095,AL,Marshall County,80192
1999,1095,AL,Marshall County,80524
1990,1097,AL,Mobile County,379163
1991,1097,AL,Mobile County,382982
1992,1097,AL,Mobile County,388122
1993,1097,AL,Mobile County,393816
1994,1097,AL,Mobile County,395838
1995,1097,AL,Mobile County,395863
1996,1097,AL,Mobile County,396444
1997,1097,AL,Mobile County,398229
1998,1097,AL,Mobile County,398886
1999,1097,AL,Mobile County,399652
1990,1099,AL,Monroe County,24123
1991,1099,AL,Monroe County,23863
1992,1099,AL,Monroe County,24010
1993,1099,AL,Monroe County,24259
1994,1099,AL,Monroe County,24393
1995,1099,AL,Monroe County,24455
1996,1099,AL,Monroe County,24391
1997,1099,AL,Monroe County,24147
1998,1099,AL,Monroe County,24005
1999,1099,AL,Monroe County,23960
1990,1101,AL,Montgomery County,209344
1991,1101,AL,Montgomery County,211685
1992,1101,AL,Montgomery County,213905
1993,1101,AL,Montgomery County,215979
1994,1101,AL,Montgomery County,217324
1995,1101,AL,Montgomery County,217638
1996,1101,AL,Montgomery County,217605
1997,1101,AL,Montgomery County,217715
1998,1101,AL,Montgomery County,217392
1999,1101,AL,Montgomery County,215813
1990,1103,AL,Morgan County,100489
1991,1103,AL,Morgan County,101904
1992,1103,AL,Morgan County,103394
1993,1103,AL,Morgan County,104978
1994,1103,AL,Morgan County,105835
1995,1103,AL,Morgan County,106708
1996,1103,AL,Morgan County,107397
1997,1103,AL,Morgan County,108377
1998,1103,AL,Morgan County,109218
1999,1103,AL,Morgan County,109665
1990,1105,AL,Perry County,12706
1991,1105,AL,Perry County,12443
1992,1105,AL,Perry County,12369
1993,1105,AL,Perry County,12479
1994,1105,AL,Perry County,12575
1995,1105,AL,Perry County,12778
1996,1105,AL,Perry County,12605
1997,1105,AL,Perry County,12605
1998,1105,AL,Perry County,12682
1999,1105,AL,Perry County,12610
1990,1107,AL,Pickens County,20682
1991,1107,AL,Pickens County,20741
1992,1107,AL,Pickens County,20930
1993,1107,AL,Pickens County,20982
1994,1107,AL,Pickens County,20902
1995,1107,AL,Pickens County,20890
1996,1107,AL,Pickens County,20982
1997,1107,AL,Pickens County,20946
1998,1107,AL,Pickens County,21019
1999,1107,AL,Pickens County,21028
1990,1109,AL,Pike County,27635
1991,1109,AL,Pike County,27989
1992,1109,AL,Pike County,28139
1993,1109,AL,Pike County,28346
1994,1109,AL,Pike County,28748
1995,1109,AL,Pike County,28558
1996,1109,AL,Pike County,28359
1997,1109,AL,Pike County,28540
1998,1109,AL,Pike County,28648
1999,1109,AL,Pike County,28469
1990,1111,AL,Randolph County,19942
1991,1111,AL,Randolph County,20037
1992,1111,AL,Randolph County,20253
1993,1111,AL,Randolph County,20309
1994,1111,AL,Randolph County,20239
1995,1111,AL,Randolph County,20184
1996,1111,AL,Randolph County,20209
1997,1111,AL,Randolph County,19962
1998,1111,AL,Randolph County,20025
1999,1111,AL,Randolph County,20263
1990,1113,AL,Russell County,46964
1991,1113,AL,Russell County,47690
1992,1113,AL,Russell County,48978
1993,1113,AL,Russell County,49948
1994,1113,AL,Russell County,51494
1995,1113,AL,Russell County,51376
1996,1113,AL,Russell County,51602
1997,1113,AL,Russell County,50737
1998,1113,AL,Russell County,50368
1999,1113,AL,Russell County,50071
1990,1115,AL,St. Clair County,50089
1991,1115,AL,St. Clair County,51376
1992,1115,AL,St. Clair County,52896
1993,1115,AL,St. Clair County,54525
1994,1115,AL,St. Clair County,56018
1995,1115,AL,St. Clair County,57812
1996,1115,AL,St. Clair County,59380
1997,1115,AL,St. Clair County,60648
1998,1115,AL,St. Clair County,62018
1999,1115,AL,St. Clair County,63852
1990,1117,AL,Shelby County,100130
1991,1117,AL,Shelby County,103375
1992,1117,AL,Shelby County,107547
1993,1117,AL,Shelby County,113605
1994,1117,AL,Shelby County,119989
1995,1117,AL,Shelby County,125322
1996,1117,AL,Shelby County,130157
1997,1117,AL,Shelby County,135805
1998,1117,AL,Shelby County,140853
1999,1117,AL,Shelby County,146392
1990,1119,AL,Sumter County,16166
1991,1119,AL,Sumter County,16231
1992,1119,AL,Sumter County,16118
1993,1119,AL,Sumter County,16047
1994,1119,AL,Sumter County,16303
1995,1119,AL,Sumter County,16222
1996,1119,AL,Sumter County,16164
1997,1119,AL,Sumter County,15901
1998,1119,AL,Sumter County,15765
1999,1119,AL,Sumter County,15615
1990,1121,AL,Talladega County,74119
1991,1121,AL,Talladega County,74446
1992,1121,AL,Talladega County,74917
1993,1121,AL,Talladega County,75453
1994,1121,AL,Talladega County,75735
1995,1121,AL,Talladega County,76064
1996,1121,AL,Talladega County,76418
1997,1121,AL,Talladega County,76648
1998,1121,AL,Talladega County,77025
1999,1121,AL,Talladega County,77521
1990,1123,AL,Tallapoosa County,38891
1991,1123,AL,Tallapoosa County,39211
1992,1123,AL,Tallapoosa County,39338
1993,1123,AL,Tallapoosa County,39475
1994,1123,AL,Tallapoosa County,39571
1995,1123,AL,Tallapoosa County,39519
1996,1123,AL,Tallapoosa County,40077
1997,1123,AL,Tallapoosa County,40287
1998,1123,AL,Tallapoosa County,40360
1999,1123,AL,Tallapoosa County,40329
1990,1125,AL,Tuscaloosa County,151015
1991,1125,AL,Tuscaloosa County,153113
1992,1125,AL,Tuscaloosa County,153188
1993,1125,AL,Tuscaloosa County,154519
1994,1125,AL,Tuscaloosa County,155892
1995,1125,AL,Tuscaloosa County,158702
1996,1125,AL,Tuscaloosa County,158511
1997,1125,AL,Tuscaloosa County,159878
1998,1125,AL,Tuscaloosa County,160761
1999,1125,AL,Tuscaloosa County,161435
1990,1127,AL,Walker County,67652
1991,1127,AL,Walker County,68016
1992,1127,AL,Walker County,68318
1993,1127,AL,Walker County,68670
1994,1127,AL,Walker County,68921
1995,1127,AL,Walker County,69462
1996,1127,AL,Walker County,70177
1997,1127,AL,Walker County,70677
1998,1127,AL,Walker County,71006
1999,1127,AL,Walker County,71318
1990,1129,AL,Washington County,16694
1991,1129,AL,Washington County,16777
1992,1129,AL,Washington County,16814
1993,1129,AL,Washington County,17054
1994,1129,AL,Washington County,17070
1995,1129,AL,Washington County,17263
1996,1129,AL,Washington County,17425
1997,1129,AL,Washington County,17585
1998,1129,AL,Washington County,17663
1999,1129,AL,Washington County,17742
1990,1131,AL,Wilcox County,13510
1991,1131,AL,Wilcox County,13760
1992,1131,AL,Wilcox County,13686
1993,1131,AL,Wilcox County,13705
1994,1131,AL,Wilcox County,13681
1995,1131,AL,Wilcox County,13641
1996,1131,AL,Wilcox County,13604
1997,1131,AL,Wilcox County,13455
1998,1131,AL,Wilcox County,13451
1999,1131,AL,Wilcox County,13414
1990,1133,AL,Winston County,22105
1991,1133,AL,Winston County,22009
1992,1133,AL,Winston County,22252
1993,1133,AL,Winston County,22623
1994,1133,AL,Winston County,23105
1995,1133,AL,Winston County,23333
1996,1133,AL,Winston County,23735
1997,1133,AL,Winston County,23970
1998,1133,AL,Winston County,24130
1999,1133,AL,Winston County,24459
1990,2013,AK,Aleutians East Borough,2460
1991,2013,AK,Aleutians East Borough,2419
1992,2013,AK,Aleutians East Borough,2447
1993,2013,AK,Aleutians East Borough,2346
1994,2013,AK,Aleutians East Borough,2246
1995,2013,AK,Aleutians East Borough,2286
1996,2013,AK,Aleutians East Borough,2298
1997,2013,AK,Aleutians East Borough,2288
1998,2013,AK,Aleutians East Borough,2221
1999,2013,AK,Aleutians East Borough,2179
1990,2016,AK,Aleutians West Census Area,9514
1991,2016,AK,Aleutians West Census Area,9005
1992,2016,AK,Aleutians West Census Area,8600
1993,2016,AK,Aleutians West Census Area,9020
1994,2016,AK,Aleutians West Census Area,6233
1995,2016,AK,Aleutians West Census Area,4909
1996,2016,AK,Aleutians West Census Area,4740
1997,2016,AK,Aleutians West Census Area,4100
1998,2016,AK,Aleutians West Census Area,3941
1999,2016,AK,Aleutians West Census Area,3913
1990,2020,AK,Anchorage Municipality,227583
1991,2020,AK,Anchorage Municipality,234893
1992,2020,AK,Anchorage Municipality,245201
1993,2020,AK,Anchorage Municipality,249562
1994,2020,AK,Anchorage Municipality,251481
1995,2020,AK,Anchorage Municipality,251009
1996,2020,AK,Anchorage Municipality,249571
1997,2020,AK,Anchorage Municipality,251359
1998,2020,AK,Anchorage Municipality,255618
1999,2020,AK,Anchorage Municipality,257808
1990,2050,AK,Bethel Census Area,13728
1991,2050,AK,Bethel Census Area,13982
1992,2050,AK,Bethel Census Area,14256
1993,2050,AK,Bethel Census Area,14665
1994,2050,AK,Bethel Census Area,14999
1995,2050,AK,Bethel Census Area,15385
1996,2050,AK,Bethel Census Area,15582
1997,2050,AK,Bethel Census Area,15771
1998,2050,AK,Bethel Census Area,16005
1999,2050,AK,Bethel Census Area,16215
1990,2060,AK,Bristol Bay Borough,1380
1991,2060,AK,Bristol Bay Borough,1387
1992,2060,AK,Bristol Bay Borough,1463
1993,2060,AK,Bristol Bay Borough,1549
1994,2060,AK,Bristol Bay Borough,1115
1995,2060,AK,Bristol Bay Borough,1007
1996,2060,AK,Bristol Bay Borough,1052
1997,2060,AK,Bristol Bay Borough,1091
1998,2060,AK,Bristol Bay Borough,1090
1999,2060,AK,Bristol Bay Borough,1061
1990,2068,AK,Denali Borough,1724
1991,2068,AK,Denali Borough,1828
1992,2068,AK,Denali Borough,1907
1993,2068,AK,Denali Borough,1827
1994,2068,AK,Denali Borough,1922
1995,2068,AK,Denali Borough,1908
1996,2068,AK,Denali Borough,2006
1997,2068,AK,Denali Borough,1968
1998,2068,AK,Denali Borough,1938
1999,2068,AK,Denali Borough,1883
1990,2070,AK,Dillingham Census Area,4022
1991,2070,AK,Dillingham Census Area,4106
1992,2070,AK,Dillingham Census Area,4253
1993,2070,AK,Dillingham Census Area,4343
1994,2070,AK,Dillingham Census Area,4403
1995,2070,AK,Dillingham Census Area,4376
1996,2070,AK,Dillingham Census Area,4425
1997,2070,AK,Dillingham Census Area,4446
1998,2070,AK,Dillingham Census Area,4488
1999,2070,AK,Dillingham Census Area,4565
1990,2090,AK,Fairbanks North Star Borough,78091
1991,2090,AK,Fairbanks North Star Borough,80613
1992,2090,AK,Fairbanks North Star Borough,82743
1993,2090,AK,Fairbanks North Star Borough,83334
1994,2090,AK,Fairbanks North Star Borough,83978
1995,2090,AK,Fairbanks North Star Borough,82515
1996,2090,AK,Fairbanks North Star Borough,83562
1997,2090,AK,Fairbanks North Star Borough,83261
1998,2090,AK,Fairbanks North Star Borough,84253
1999,2090,AK,Fairbanks North Star Borough,84366
1990,2100,AK,Haines Borough,2115
1991,2100,AK,Haines Borough,2234
1992,2100,AK,Haines Borough,2165
1993,2100,AK,Haines Borough,2191
1994,2100,AK,Haines Borough,2286
